year,constructorId,Constructor Name,Total Points,Races Won,Races Qualified First
1969,6,Ferrari,7.0,0,0
1970,6,Ferrari,61.0,4,0
1971,6,Ferrari,33.0,2,0
1972,6,Ferrari,33.0,1,0
1973,6,Ferrari,12.0,0,0
1974,6,Ferrari,65.0,3,0
1975,6,Ferrari,72.5,6,0
1976,6,Ferrari,83.0,6,0
1977,6,Ferrari,97.0,4,0
1978,6,Ferrari,58.0,5,0
1979,6,Ferrari,113.0,6,0
1980,6,Ferrari,8.0,0,0
1981,6,Ferrari,34.0,2,0
1982,6,Ferrari,74.0,3,0
1983,6,Ferrari,89.0,4,0
1984,6,Ferrari,57.5,1,0
1985,6,Ferrari,82.0,2,0
1986,6,Ferrari,37.0,0,0
1987,6,Ferrari,53.0,2,0
1988,6,Ferrari,65.0,1,0
1989,6,Ferrari,59.0,3,0
1990,6,Ferrari,110.0,6,0
1991,6,Ferrari,55.5,0,0
1992,6,Ferrari,21.0,0,0
1993,6,Ferrari,28.0,0,0
1994,6,Ferrari,71.0,1,3
1995,6,Ferrari,73.0,1,1
1996,6,Ferrari,70.0,3,2
1997,6,Ferrari,102.0,5,2
1998,6,Ferrari,133.0,6,0
1999,6,Ferrari,128.0,6,0
2000,6,Ferrari,170.0,10,2
2001,6,Ferrari,179.0,9,1
2002,6,Ferrari,221.0,15,2
2003,6,Ferrari,158.0,8,8
2004,6,Ferrari,262.0,15,12
2005,6,Ferrari,100.0,1,1
2006,6,Ferrari,201.0,9,7
2007,6,Ferrari,204.0,9,9
2008,6,Ferrari,172.0,8,8
2009,6,Ferrari,70.0,1,0
2010,6,Ferrari,396.0,5,2
2011,6,Ferrari,375.0,1,0
2012,6,Ferrari,400.0,3,2
2013,6,Ferrari,354.0,2,0
2014,6,Ferrari,216.0,0,0
2015,6,Ferrari,428.0,3,1
2016,6,Ferrari,398.0,0,0
2017,6,Ferrari,522.0,5,5
2018,6,Ferrari,571.0,6,6
2019,6,Ferrari,504.0,3,8
2020,6,Ferrari,131.0,0,0
2021,6,Ferrari,323.5,0,2
2022,6,Ferrari,554.0,4,11
2023,6,Ferrari,406.0,1,6
2024,6,Ferrari,652.0,5,3
2002,7,Toyota,2.0,0,0
2003,7,Toyota,16.0,0,0
2004,7,Toyota,9.0,0,0
2005,7,Toyota,88.0,0,2
2006,7,Toyota,35.0,0,0
2007,7,Toyota,13.0,0,0
2008,7,Toyota,56.0,0,0
2009,7,Toyota,59.5,0,1
2006,8,Super Aguri,0.0,0,0
2007,8,Super Aguri,4.0,0,0
2008,8,Super Aguri,0.0,0,0
2005,9,Red Bull,34.0,0,0
2006,9,Red Bull,16.0,0,0
2007,9,Red Bull,24.0,0,0
2008,9,Red Bull,29.0,0,0
2009,9,Red Bull,153.5,6,5
2010,9,Red Bull,498.0,9,15
2011,9,Red Bull,650.0,12,18
2012,9,Red Bull,460.0,7,7
2013,9,Red Bull,596.0,13,11
2014,9,Red Bull,405.0,3,0
2015,9,Red Bull,187.0,0,0
2016,9,Red Bull,468.0,2,1
2017,9,Red Bull,368.0,3,0
2018,9,Red Bull,419.0,4,2
2019,9,Red Bull,417.0,3,3
2020,9,Red Bull,319.0,2,1
2021,9,Red Bull,585.5,11,8
2022,9,Red Bull,759.0,17,9
2023,9,Red Bull,860.0,21,15
2024,9,Red Bull,589.0,9,10
2008,10,Force India,0.0,0,0
2009,10,Force India,13.0,0,1
2010,10,Force India,68.0,0,0
2011,10,Force India,69.0,0,0
2012,10,Force India,109.0,0,0
2013,10,Force India,77.0,0,0
2014,10,Force India,155.0,0,0
2015,10,Force India,136.0,0,0
2016,10,Force India,173.0,0,0
2017,10,Force India,187.0,0,0
2018,10,Force India,111.0,0,0
1964,11,Honda,0.0,0,0
1965,11,Honda,11.0,1,0
1966,11,Honda,3.0,0,0
1967,11,Honda,20.0,1,0
1968,11,Honda,14.0,0,0
2006,11,Honda,86.0,1,1
2007,11,Honda,6.0,0,0
2008,11,Honda,14.0,0,0
2007,12,Spyker,1.0,0,0
2006,13,MF1,0.0,0,0
2006,14,Spyker MF1,0.0,0,0
1993,15,Sauber,12.0,0,0
1994,15,Sauber,12.0,0,0
1995,15,Sauber,18.0,0,0
1996,15,Sauber,11.0,0,0
1997,15,Sauber,16.0,0,0
1998,15,Sauber,10.0,0,0
1999,15,Sauber,5.0,0,0
2000,15,Sauber,6.0,0,0
2001,15,Sauber,21.0,0,0
2002,15,Sauber,11.0,0,0
2003,15,Sauber,19.0,0,0
2004,15,Sauber,34.0,0,0
2005,15,Sauber,20.0,0,0
2010,15,Sauber,44.0,0,0
2011,15,Sauber,44.0,0,0
2012,15,Sauber,126.0,0,0
2013,15,Sauber,57.0,0,0
2014,15,Sauber,0.0,0,0
2015,15,Sauber,36.0,0,0
2016,15,Sauber,2.0,0,0
2017,15,Sauber,5.0,0,0
2018,15,Sauber,48.0,0,0
2024,15,Sauber,4.0,0,0
1999,16,BAR,0.0,0,0
2000,16,BAR,20.0,0,0
2001,16,BAR,17.0,0,0
2002,16,BAR,7.0,0,0
2003,16,BAR,26.0,0,0
2004,16,BAR,119.0,0,1
2005,16,BAR,38.0,0,1
1991,17,Jordan,13.0,0,0
1992,17,Jordan,1.0,0,0
1993,17,Jordan,3.0,0,0
1994,17,Jordan,28.0,0,1
1995,17,Jordan,21.0,0,0
1996,17,Jordan,22.0,0,0
1997,17,Jordan,33.0,0,0
1998,17,Jordan,34.0,1,0
1999,17,Jordan,61.0,2,0
2000,17,Jordan,17.0,0,0
2001,17,Jordan,19.0,0,0
2002,17,Jordan,9.0,0,0
2003,17,Jordan,13.0,1,0
2004,17,Jordan,5.0,0,0
2005,17,Jordan,12.0,0,0
1985,18,Minardi,0.0,0,0
1986,18,Minardi,0.0,0,0
1987,18,Minardi,0.0,0,0
1988,18,Minardi,1.0,0,0
1989,18,Minardi,6.0,0,0
1990,18,Minardi,0.0,0,0
1991,18,Minardi,6.0,0,0
1992,18,Minardi,1.0,0,0
1993,18,Minardi,7.0,0,0
1994,18,Minardi,5.0,0,0
1995,18,Minardi,1.0,0,0
1996,18,Minardi,0.0,0,0
1997,18,Minardi,0.0,0,0
1998,18,Minardi,0.0,0,0
1999,18,Minardi,1.0,0,0
2000,18,Minardi,0.0,0,0
2001,18,Minardi,0.0,0,0
2002,18,Minardi,2.0,0,0
2003,18,Minardi,0.0,0,0
2004,18,Minardi,1.0,0,0
2005,18,Minardi,7.0,0,0
2000,19,Jaguar,4.0,0,0
2001,19,Jaguar,9.0,0,0
2002,19,Jaguar,8.0,0,0
2003,19,Jaguar,18.0,0,0
2004,19,Jaguar,10.0,0,0
1997,20,Prost,21.0,0,0
1998,20,Prost,1.0,0,0
1999,20,Prost,9.0,0,0
2000,20,Prost,0.0,0,0
2001,20,Prost,4.0,0,0
1978,21,Arrows,11.0,0,0
1979,21,Arrows,5.0,0,0
1980,21,Arrows,11.0,0,0
1981,21,Arrows,10.0,0,0
1982,21,Arrows,5.0,0,0
1983,21,Arrows,4.0,0,0
1984,21,Arrows,6.0,0,0
1985,21,Arrows,14.0,0,0
1986,21,Arrows,1.0,0,0
1987,21,Arrows,11.0,0,0
1988,21,Arrows,23.0,0,0
1989,21,Arrows,13.0,0,0
1990,21,Arrows,2.0,0,0
1997,21,Arrows,9.0,0,0
1998,21,Arrows,6.0,0,0
1999,21,Arrows,1.0,0,0
2000,21,Arrows,7.0,0,0
2001,21,Arrows,1.0,0,0
2002,21,Arrows,2.0,0,0
1986,22,Benetton,19.0,1,0
1987,22,Benetton,28.0,0,0
1988,22,Benetton,39.0,0,0
1989,22,Benetton,39.0,1,0
1990,22,Benetton,71.0,2,0
1991,22,Benetton,38.5,1,0
1992,22,Benetton,91.0,1,0
1993,22,Benetton,72.0,1,0
1994,22,Benetton,103.0,8,5
1995,22,Benetton,147.0,11,4
1996,22,Benetton,68.0,0,0
1997,22,Benetton,67.0,1,1
1998,22,Benetton,33.0,0,1
1999,22,Benetton,16.0,0,0
2000,22,Benetton,20.0,0,0
2001,22,Benetton,10.0,0,0
2009,23,Brawn,172.0,8,5
1997,24,Stewart,6.0,0,0
1998,24,Stewart,5.0,0,0
1999,24,Stewart,36.0,1,0
1970,25,Tyrrell,0.0,0,0
1971,25,Tyrrell,73.0,7,0
1972,25,Tyrrell,51.0,4,0
1973,25,Tyrrell,86.0,5,0
1974,25,Tyrrell,52.0,2,0
1975,25,Tyrrell,25.0,1,0
1976,25,Tyrrell,71.0,1,0
1977,25,Tyrrell,27.0,0,0
1978,25,Tyrrell,38.0,1,0
1979,25,Tyrrell,28.0,0,0
1980,25,Tyrrell,12.0,0,0
1981,25,Tyrrell,10.0,0,0
1982,25,Tyrrell,25.0,1,0
1983,25,Tyrrell,12.0,1,0
1984,25,Tyrrell,0.0,0,0
1985,25,Tyrrell,7.0,0,0
1986,25,Tyrrell,11.0,0,0
1987,25,Tyrrell,11.0,0,0
1988,25,Tyrrell,5.0,0,0
1989,25,Tyrrell,16.0,0,0
1990,25,Tyrrell,16.0,0,0
1991,25,Tyrrell,12.0,0,0
1992,25,Tyrrell,8.0,0,0
1993,25,Tyrrell,0.0,0,0
1994,25,Tyrrell,13.0,0,0
1995,25,Tyrrell,5.0,0,0
1996,25,Tyrrell,5.0,0,0
1997,25,Tyrrell,2.0,0,0
1998,25,Tyrrell,0.0,0,0
1962,26,Lola,19.0,0,0
1963,26,Lola,0.0,0,0
1967,26,Lola,0.0,0,0
1968,26,Lola,0.0,0,0
1974,26,Lola,1.0,0,0
1975,26,Lola,0.0,0,0
1985,26,Lola,0.0,0,0
1986,26,Lola,6.0,0,0
1991,26,Lola,1.0,0,0
1993,26,Lola,0.0,0,0
1997,26,Lola,0.0,0,0
1976,27,Ligier,20.0,0,0
1977,27,Ligier,18.0,1,0
1978,27,Ligier,19.0,0,0
1979,27,Ligier,61.0,3,0
1980,27,Ligier,66.0,2,0
1981,27,Ligier,44.0,2,0
1982,27,Ligier,20.0,0,0
1983,27,Ligier,0.0,0,0
1984,27,Ligier,3.0,0,0
1985,27,Ligier,23.0,0,0
1986,27,Ligier,29.0,0,0
1987,27,Ligier,1.0,0,0
1988,27,Ligier,0.0,0,0
1989,27,Ligier,3.0,0,0
1990,27,Ligier,0.0,0,0
1991,27,Ligier,0.0,0,0
1992,27,Ligier,6.0,0,0
1993,27,Ligier,23.0,0,0
1994,27,Ligier,13.0,0,0
1995,27,Ligier,24.0,0,0
1996,27,Ligier,15.0,1,0
1995,28,Forti,0.0,0,0
1996,28,Forti,0.0,0,0
1991,29,Footwork,0.0,0,0
1992,29,Footwork,6.0,0,0
1993,29,Footwork,4.0,0,0
1994,29,Footwork,9.0,0,0
1995,29,Footwork,5.0,0,0
1996,29,Footwork,1.0,0,0
1994,30,Pacific,0.0,0,0
1995,30,Pacific,0.0,0,0
1994,31,Simtek,0.0,0,0
1995,31,Simtek,0.0,0,0
1958,32,Team Lotus,3.0,0,0
1959,32,Team Lotus,5.0,0,0
1960,32,Team Lotus,37.0,2,0
1962,32,Team Lotus,0.0,0,0
1963,32,Team Lotus,0.0,0,0
1970,32,Team Lotus,62.0,6,0
1972,32,Team Lotus,61.0,5,0
1973,32,Team Lotus,96.0,7,0
1974,32,Team Lotus,42.0,3,0
1975,32,Team Lotus,9.0,0,0
1976,32,Team Lotus,29.0,1,0
1977,32,Team Lotus,62.0,5,0
1978,32,Team Lotus,86.0,8,0
1979,32,Team Lotus,39.0,0,0
1980,32,Team Lotus,14.0,0,0
1981,32,Team Lotus,22.0,0,0
1982,32,Team Lotus,30.0,1,0
1983,32,Team Lotus,12.0,0,0
1984,32,Team Lotus,47.0,0,0
1985,32,Team Lotus,71.0,3,0
1986,32,Team Lotus,58.0,2,0
1987,32,Team Lotus,64.0,2,0
1988,32,Team Lotus,23.0,0,0
1989,32,Team Lotus,15.0,0,0
1990,32,Team Lotus,3.0,0,0
1991,32,Team Lotus,3.0,0,0
1992,32,Team Lotus,13.0,0,0
1993,32,Team Lotus,12.0,0,0
1994,32,Team Lotus,0.0,0,0
1987,33,Larrousse,3.0,0,0
1988,33,Larrousse,0.0,0,0
1989,33,Larrousse,1.0,0,0
1990,33,Larrousse,11.0,0,0
1991,33,Larrousse,1.0,0,0
1992,33,Larrousse,1.0,0,0
1993,33,Larrousse,3.0,0,0
1994,33,Larrousse,2.0,0,0
1962,34,Brabham,6.0,0,0
1963,34,Brabham,30.0,0,0
1970,34,Brabham,35.0,1,0
1971,34,Brabham,5.0,0,0
1972,34,Brabham,7.0,0,0
1973,34,Brabham,22.0,0,0
1974,34,Brabham,35.0,3,0
1975,34,Brabham,56.0,2,0
1977,34,Brabham,27.0,0,0
1978,34,Brabham,53.0,2,0
1979,34,Brabham,1.0,0,0
1980,34,Brabham,55.0,3,0
1981,34,Brabham,61.0,3,0
1982,34,Brabham,41.0,2,0
1983,34,Brabham,72.0,4,0
1984,34,Brabham,38.0,2,0
1985,34,Brabham,26.0,1,0
1986,34,Brabham,2.0,0,0
1987,34,Brabham,10.0,0,0
1989,34,Brabham,8.0,0,0
1990,34,Brabham,2.0,0,0
1991,34,Brabham,3.0,0,0
1992,34,Brabham,0.0,0,0
1988,35,Dallara,0.0,0,0
1989,35,Dallara,8.0,0,0
1990,35,Dallara,0.0,0,0
1991,35,Dallara,5.0,0,0
1992,35,Dallara,2.0,0,0
1991,36,Fondmetal,0.0,0,0
1992,36,Fondmetal,0.0,0,0
1970,37,March,48.0,1,0
1972,37,March,15.0,0,0
1973,37,March,14.0,0,0
1974,37,March,6.0,0,0
1975,37,March,7.5,1,0
1976,37,March,19.0,1,0
1977,37,March,0.0,0,0
1981,37,March,0.0,0,0
1982,37,March,0.0,0,0
1987,37,March,1.0,0,0
1988,37,March,22.0,0,0
1989,37,March,4.0,0,0
1992,37,March,3.0,0,0
1992,38,Andrea Moda,0.0,0,0
1986,39,AGS,0.0,0,0
1987,39,AGS,1.0,0,0
1988,39,AGS,0.0,0,0
1989,39,AGS,1.0,0,0
1990,39,AGS,0.0,0,0
1991,39,AGS,0.0,0,0
1991,40,Lambo,0.0,0,0
1990,41,Leyton House,7.0,0,0
1991,41,Leyton House,1.0,0,0
1987,42,Coloni,0.0,0,0
1988,42,Coloni,0.0,0,0
1989,42,Coloni,0.0,0,0
1990,42,Coloni,0.0,0,0
1991,42,Coloni,0.0,0,0
1988,44,Euro Brun,0.0,0,0
1989,44,Euro Brun,0.0,0,0
1990,44,Euro Brun,0.0,0,0
1980,45,Osella,0.0,0,0
1981,45,Osella,0.0,0,0
1982,45,Osella,3.0,0,0
1983,45,Osella,0.0,0,0
1984,45,Osella,2.0,0,0
1985,45,Osella,0.0,0,0
1986,45,Osella,0.0,0,0
1987,45,Osella,0.0,0,0
1988,45,Osella,0.0,0,0
1989,45,Osella,0.0,0,0
1990,45,Osella,0.0,0,0
1989,46,Onyx,6.0,0,0
1990,46,Onyx,0.0,0,0
1990,47,Life,0.0,0,0
1988,48,Rial,3.0,0,0
1989,48,Rial,3.0,0,0
1985,49,Zakspeed,0.0,0,0
1986,49,Zakspeed,0.0,0,0
1987,49,Zakspeed,2.0,0,0
1988,49,Zakspeed,0.0,0,0
1989,49,Zakspeed,0.0,0,0
1983,50,RAM,0.0,0,0
1984,50,RAM,0.0,0,0
1985,50,RAM,0.0,0,0
1963,51,Alfa Romeo,0.0,0,0
1965,51,Alfa Romeo,0.0,0,0
1979,51,Alfa Romeo,0.0,0,0
1980,51,Alfa Romeo,4.0,0,0
1981,51,Alfa Romeo,10.0,0,0
1982,51,Alfa Romeo,7.0,0,0
1983,51,Alfa Romeo,18.0,0,0
1984,51,Alfa Romeo,11.0,0,0
1985,51,Alfa Romeo,0.0,0,0
2019,51,Alfa Romeo,57.0,0,0
2020,51,Alfa Romeo,8.0,0,0
2021,51,Alfa Romeo,13.0,0,0
2022,51,Alfa Romeo,55.0,0,0
2023,51,Alfa Romeo,16.0,0,0
1983,52,Spirit,0.0,0,0
1984,52,Spirit,0.0,0,0
1985,52,Spirit,0.0,0,0
1981,53,Toleman,0.0,0,0
1982,53,Toleman,0.0,0,0
1983,53,Toleman,10.0,0,0
1984,53,Toleman,16.0,0,0
1985,53,Toleman,0.0,0,0
1963,54,ATS,0.0,0,0
1978,54,ATS,0.0,0,0
1979,54,ATS,2.0,0,0
1980,54,ATS,0.0,0,0
1981,54,ATS,1.0,0,0
1982,54,ATS,4.0,0,0
1983,54,ATS,0.0,0,0
1984,54,ATS,0.0,0,0
1978,55,Theodore,0.0,0,0
1981,55,Theodore,1.0,0,0
1982,55,Theodore,0.0,0,0
1983,55,Theodore,1.0,0,0
1975,56,Fittipaldi,0.0,0,0
1976,56,Fittipaldi,3.0,0,0
1977,56,Fittipaldi,11.0,0,0
1978,56,Fittipaldi,17.0,0,0
1979,56,Fittipaldi,1.0,0,0
1980,56,Fittipaldi,11.0,0,0
1981,56,Fittipaldi,0.0,0,0
1982,56,Fittipaldi,1.0,0,0
1973,57,Ensign,0.0,0,0
1974,57,Ensign,0.0,0,0
1975,57,Ensign,1.0,0,0
1976,57,Ensign,2.0,0,0
1977,57,Ensign,10.0,0,0
1978,57,Ensign,1.0,0,0
1979,57,Ensign,0.0,0,0
1980,57,Ensign,0.0,0,0
1981,57,Ensign,5.0,0,0
1982,57,Ensign,0.0,0,0
1973,58,Shadow,9.0,0,0
1974,58,Shadow,7.0,0,0
1976,58,Shadow,10.0,0,0
1977,58,Shadow,23.0,1,0
1978,58,Shadow,6.0,0,0
1979,58,Shadow,3.0,0,0
1980,58,Shadow,0.0,0,0
1976,59,Wolf,0.0,0,0
1977,59,Wolf,55.0,3,0
1978,59,Wolf,24.0,0,0
1979,59,Wolf,0.0,0,0
1978,60,Merzario,0.0,0,0
1979,60,Merzario,0.0,0,0
1979,61,Kauhsen,0.0,0,0
1979,62,Rebaque,0.0,0,0
1970,63,Surtees,3.0,0,0
1971,63,Surtees,8.0,0,0
1972,63,Surtees,18.0,0,0
1973,63,Surtees,7.0,0,0
1974,63,Surtees,3.0,0,0
1975,63,Surtees,0.0,0,0
1976,63,Surtees,7.0,0,0
1977,63,Surtees,6.0,0,0
1978,63,Surtees,1.0,0,0
1974,64,Hesketh,15.0,0,0
1975,64,Hesketh,33.0,1,0
1976,64,Hesketh,0.0,0,0
1977,64,Hesketh,0.0,0,0
1978,64,Hesketh,0.0,0,0
1978,65,Martini,0.0,0,0
1958,66,BRM,20.0,0,0
1959,66,BRM,18.0,1,0
1960,66,BRM,8.0,0,0
1961,66,BRM,7.0,0,0
1962,66,BRM,56.0,4,0
1963,66,BRM,45.0,2,0
1964,66,BRM,51.0,2,0
1965,66,BRM,61.0,3,0
1966,66,BRM,22.0,1,0
1967,66,BRM,19.0,0,0
1968,66,BRM,28.0,0,0
1969,66,BRM,7.0,0,0
1970,66,BRM,25.0,1,0
1971,66,BRM,36.0,2,0
1972,66,BRM,14.0,1,0
1973,66,BRM,12.0,0,0
1974,66,BRM,10.0,0,0
1975,66,BRM,0.0,0,0
1976,66,BRM,0.0,0,0
1977,66,BRM,0.0,0,0
1974,67,Penske,0.0,0,0
1975,67,Penske,2.0,0,0
1976,67,Penske,20.0,1,0
1977,67,Penske,1.0,0,0
1977,68,LEC,0.0,0,0
1977,69,McGuire,0.0,0,0
1976,70,Boro,0.0,0,0
1977,70,Boro,0.0,0,0
1977,71,Apollon,0.0,0,0
1976,72,Kojima,0.0,0,0
1977,72,Kojima,0.0,0,0
1974,73,Parnelli,0.0,0,0
1975,73,Parnelli,5.0,0,0
1976,73,Parnelli,1.0,0,0
1974,74,Maki,0.0,0,0
1975,74,Maki,0.0,0,0
1976,74,Maki,0.0,0,0
1975,75,Embassy Hill,3.0,0,0
1974,76,Lyncar,0.0,0,0
1975,76,Lyncar,0.0,0,0
1974,77,Trojan,0.0,0,0
1974,78,Amon,0.0,0,0
1974,79,Token,0.0,0,0
1973,80,Iso Marlboro,2.0,0,0
1974,80,Iso Marlboro,4.0,0,0
1972,81,Tecno,0.0,0,0
1973,81,Tecno,1.0,0,0
1967,82,Matra,0.0,0,0
1968,82,Matra,8.0,0,0
1970,82,Matra,23.0,0,0
1971,82,Matra,9.0,0,0
1972,82,Matra,12.0,0,0
1972,83,Politoys,0.0,0,0
1972,84,Connew,0.0,0,0
1970,85,Bellasi,0.0,0,0
1971,85,Bellasi,0.0,0,0
1962,86,De Tomaso,0.0,0,0
1963,86,De Tomaso,0.0,0,0
1970,86,De Tomaso,0.0,0,0
1958,87,Cooper,31.0,2,0
1962,87,Cooper,0.0,0,0
1962,89,LDS,0.0,0,0
1963,89,LDS,0.0,0,0
1968,89,LDS,0.0,0,0
1967,90,Protos,0.0,0,0
1966,91,Shannon,0.0,0,0
1963,92,Scirocco,0.0,0,0
1964,92,Scirocco,0.0,0,0
1965,93,RE,0.0,0,0
1963,94,BRP,6.0,0,0
1964,94,BRP,5.0,0,0
1958,95,Porsche,0.0,0,0
1959,95,Porsche,0.0,0,0
1960,95,Porsche,1.0,0,0
1961,95,Porsche,23.0,0,0
1962,95,Porsche,19.0,1,0
1963,95,Porsche,5.0,0,0
1964,95,Porsche,0.0,0,0
1964,96,Derrington,0.0,0,0
1961,97,Gilby,0.0,0,0
1962,97,Gilby,0.0,0,0
1963,97,Gilby,0.0,0,0
1963,98,Stebro,0.0,0,0
1961,99,Emeryson,0.0,0,0
1962,99,Emeryson,0.0,0,0
1962,100,ENB,0.0,0,0
1959,101,JBW,0.0,0,0
1960,101,JBW,0.0,0,0
1961,101,JBW,0.0,0,0
1961,102,Ferguson,0.0,0,0
1961,103,MBM,0.0,0,0
1960,104,Behra-Porsche,0.0,0,0
1958,105,Maserati,6.0,0,0
1959,105,Maserati,0.0,0,0
1960,105,Maserati,0.0,0,0
1960,106,Scarab,0.0,0,0
1959,107,Watson,8.0,1,0
1960,107,Watson,8.0,1,0
1959,108,Epperly,3.0,0,0
1960,108,Epperly,4.0,0,0
1959,109,Phillips,0.0,0,0
1960,109,Phillips,3.0,0,0
1959,110,Lesovsky,5.0,0,0
1960,110,Lesovsky,2.0,0,0
